year,age_group,gender,area_code,area_name,pop_estimate
1991,All ages,Persons,W06000001,Isle of Anglesey,69123
1991,All ages,Persons,W06000002,Gwynedd,115007
1991,All ages,Persons,W06000003,Conwy,107951
1991,All ages,Persons,W06000004,Denbighshire,89395
1991,All ages,Persons,W06000005,Flintshire,142036
1991,All ages,Persons,W06000006,Wrexham,124180
1991,All ages,Persons,W06000008,Ceredigion,65933
1991,All ages,Persons,W06000009,Pembrokeshire,112446
1991,All ages,Persons,W06000010,Carmarthenshire,169725
1991,All ages,Persons,W06000011,Swansea,229743
1991,All ages,Persons,W06000012,Neath Port Talbot,138844
1991,All ages,Persons,W06000013,Bridgend,129477
1991,All ages,Persons,W06000014,Vale of Glamorgan,118053
1991,All ages,Persons,W06000015,Cardiff,296941
1991,All ages,Persons,W06000016,Rhondda Cynon Taf,234917
1991,All ages,Persons,W06000018,Caerphilly,170615
1991,All ages,Persons,W06000019,Blaenau Gwent,72666
1991,All ages,Persons,W06000020,Torfaen,90961
1991,All ages,Persons,W06000021,Monmouthshire,80209
1991,All ages,Persons,W06000022,Newport,135479
1991,All ages,Persons,W06000023,Powys,119703
1991,All ages,Persons,W06000024,Merthyr Tydfil,59594
1992,All ages,Persons,W06000001,Isle of Anglesey,69379
1992,All ages,Persons,W06000002,Gwynedd,115426
1992,All ages,Persons,W06000003,Conwy,107782
1992,All ages,Persons,W06000004,Denbighshire,89119
1992,All ages,Persons,W06000005,Flintshire,143493
1992,All ages,Persons,W06000006,Wrexham,124627
1992,All ages,Persons,W06000008,Ceredigion,67536
1992,All ages,Persons,W06000009,Pembrokeshire,113146
1992,All ages,Persons,W06000010,Carmarthenshire,169265
1992,All ages,Persons,W06000011,Swansea,229610
1992,All ages,Persons,W06000012,Neath Port Talbot,138496
1992,All ages,Persons,W06000013,Bridgend,129796
1992,All ages,Persons,W06000014,Vale of Glamorgan,117605
1992,All ages,Persons,W06000015,Cardiff,297429
1992,All ages,Persons,W06000016,Rhondda Cynon Taf,235202
1992,All ages,Persons,W06000018,Caerphilly,170129
1992,All ages,Persons,W06000019,Blaenau Gwent,72592
1992,All ages,Persons,W06000020,Torfaen,91188
1992,All ages,Persons,W06000021,Monmouthshire,80207
1992,All ages,Persons,W06000022,Newport,135515
1992,All ages,Persons,W06000023,Powys,120368
1992,All ages,Persons,W06000024,Merthyr Tydfil,59764
1993,All ages,Persons,W06000001,Isle of Anglesey,69772
1993,All ages,Persons,W06000002,Gwynedd,115717
1993,All ages,Persons,W06000003,Conwy,108142
1993,All ages,Persons,W06000004,Denbighshire,89375
1993,All ages,Persons,W06000005,Flintshire,144049
1993,All ages,Persons,W06000006,Wrexham,124949
1993,All ages,Persons,W06000008,Ceredigion,68854
1993,All ages,Persons,W06000009,Pembrokeshire,112885
1993,All ages,Persons,W06000010,Carmarthenshire,169255
1993,All ages,Persons,W06000011,Swansea,229349
1993,All ages,Persons,W06000012,Neath Port Talbot,138219
1993,All ages,Persons,W06000013,Bridgend,130129
1993,All ages,Persons,W06000014,Vale of Glamorgan,117050
1993,All ages,Persons,W06000015,Cardiff,299185
1993,All ages,Persons,W06000016,Rhondda Cynon Taf,235468
1993,All ages,Persons,W06000018,Caerphilly,170243
1993,All ages,Persons,W06000019,Blaenau Gwent,72521
1993,All ages,Persons,W06000020,Torfaen,90899
1993,All ages,Persons,W06000021,Monmouthshire,81637
1993,All ages,Persons,W06000022,Newport,135271
1993,All ages,Persons,W06000023,Powys,121072
1993,All ages,Persons,W06000024,Merthyr Tydfil,59517
1994,All ages,Persons,W06000001,Isle of Anglesey,69187
1994,All ages,Persons,W06000002,Gwynedd,116330
1994,All ages,Persons,W06000003,Conwy,108891
1994,All ages,Persons,W06000004,Denbighshire,89572
1994,All ages,Persons,W06000005,Flintshire,144539
1994,All ages,Persons,W06000006,Wrexham,125298
